oblast;raion;hromada;level;started_at;finished_at
Kyiv;;;oblast;17.03.2022 14:45;17.03.2022 15:46
Poltavska oblast;;;oblast;17.03.2022 14:46;17.03.2022 15:46
Zaporizka oblast;;;oblast;17.03.2022 14:47;17.03.2022 15:45
Donetska oblast;Kramatorskyi raion;;raion;17.03.2022 14:47;17.03.2022 16:01
Zhytomyrska oblast;;;oblast;17.03.2022 14:47;17.03.2022 15:45
Sumska oblast;;;oblast;17.03.2022 14:48;17.03.2022 16:30
Odeska oblast;;;oblast;17.03.2022 14:49;17.03.2022 15:47
Odeska oblast;Podilskyi raion;;raion;17.03.2022 14:49;17.03.2022 15:47
Odeska oblast;Berezivskyi raion;;raion;17.03.2022 14:49;17.03.2022 15:47
Odeska oblast;Izmailskyi raion;;raion;17.03.2022 14:49;17.03.2022 15:47
Odeska oblast;Bilhorod-Dnistrovskyi raion;;raion;17.03.2022 14:49;17.03.2022 15:47
Odeska oblast;Rozdilnianskyi raion;;raion;17.03.2022 14:49;17.03.2022 15:47
Odeska oblast;Bolhradskyi raion;;raion;17.03.2022 14:49;17.03.2022 15:47
Mykolaivska oblast;;;oblast;17.03.2022 14:50;17.03.2022 15:50
Vinnytska oblast;;;oblast;17.03.2022 14:58;17.03.2022 16:11
Poltavska oblast;Kremenchutskyi raion;m. Kremenchuk ta Kremenchutska terytorialna hromada;hromada;17.03.2022 15:13;17.03.2022 15:46
Donetska oblast;Bakhmutskyi raion;Toretska terytorialna hromada;hromada;17.03.2022 15:18;17.03.2022 15:23
Odeska oblast;Odeskyi raion;;raion;17.03.2022 15:52;17.03.2022 16:18
Kyiv;;;oblast;17.03.2022 16:14;17.03.2022 17:18
Kyivska oblast;;;oblast;17.03.2022 16:28;17.03.2022 17:31
Kirovohradska oblast;Holovanivskyi raion;;raion;17.03.2022 16:56;17.03.2022 19:49
Kyiv;;;oblast;17.03.2022 18:17;17.03.2022 18:34
Vinnytska oblast;;;oblast;17.03.2022 18:18;17.03.2022 19:02
Zhytomyrska oblast;;;oblast;17.03.2022 18:21;17.03.2022 18:35
Poltavska oblast;Lubenskyi raion;m. Lubny ta Lubenska terytorialna hromada;hromada;17.03.2022 18:21;17.03.2022 18:37
Poltavska oblast;Poltavskyi raion;m. Poltava ta Poltavska terytorialna hromada;hromada;17.03.2022 18:21;17.03.2022 18:36
Kyivska oblast;Bilotserkivskyi raion;m. Bila Tserkva ta Bilotserkivska terytorialna hromada;hromada;17.03.2022 18:23;17.03.2022 18:41
Kyivska oblast;Obukhivskyi raion;m. Vasylkiv ta Vasylkivska terytorialna hromada;hromada;17.03.2022 18:23;17.03.2022 18:41
Donetska oblast;Kramatorskyi raion;;raion;17.03.2022 19:04;17.03.2022 19:24
Donetska oblast;Bakhmutskyi raion;Toretska terytorialna hromada;hromada;17.03.2022 19:05;17.03.2022 19:24
Donetska oblast;Kramatorskyi raion;Druzhkivska terytorialna hromada;hromada;17.03.2022 19:08;17.03.2022 19:24
Kharkivska oblast;;;oblast;17.03.2022 19:18;17.03.2022 19:30
Zhytomyrska oblast;;;oblast;17.03.2022 20:14;18.03.2022 1:51
Kyivska oblast;Boryspilskyi raion;m. Boryspil ta Boryspilska terytorialna hromada;hromada;17.03.2022 21:01;17.03.2022 21:34
Kyivska oblast;Brovarskyi raion;m. Brovary ta Brovarska terytorialna hromada;hromada;17.03.2022 21:01;17.03.2022 21:34
Zaporizka oblast;Melitopolskyi raion;m. Melitopol ta Melitopolska terytorialna hromada;hromada;17.03.2022 21:55;17.03.2022 22:38
Zaporizka oblast;Zaporizkyi raion;;raion;17.03.2022 22:13;17.03.2022 22:33
Dnipropetrovska oblast;Nikopolskyi raion;m. Nikopol ta Nikopolska terytorialna hromada;hromada;17.03.2022 23:38;18.03.2022 0:01
Dnipropetrovska oblast;Kryvorizkyi raion;Shyrokivska terytorialna hromada;hromada;17.03.2022 23:38;18.03.2022 0:03
Zaporizka oblast;Zaporizkyi raion;Shyrokivska terytorialna hromada;hromada;17.03.2022 23:38;18.03.2022 0:03
Luhanska oblast;Shchastynskyi raion;Shyrokivska terytorialna hromada;hromada;17.03.2022 23:38;18.03.2022 0:03
Mykolaivska oblast;Bashtanskyi raion;Shyrokivska terytorialna hromada;hromada;17.03.2022 23:38;18.03.2022 0:03
Zaporizka oblast;Melitopolskyi raion;m. Melitopol ta Melitopolska terytorialna hromada;hromada;17.03.2022 23:45;18.03.2022 0:04
Kyiv;;;oblast;18.03.2022 1:19;18.03.2022 1:50
Kyivska oblast;Bilotserkivskyi raion;m. Bila Tserkva ta Bilotserkivska terytorialna hromada;hromada;18.03.2022 1:24;18.03.2022 1:56
Kyivska oblast;Fastivskyi raion;m. Fastiv ta Fastivska terytorialna hromada;hromada;18.03.2022 1:25;18.03.2022 1:56
Kyivska oblast;Brovarskyi raion;m. Brovary ta Brovarska terytorialna hromada;hromada;18.03.2022 1:26;18.03.2022 1:56
Kyivska oblast;Obukhivskyi raion;m. Vasylkiv ta Vasylkivska terytorialna hromada;hromada;18.03.2022 1:26;18.03.2022 1:56
Donetska oblast;Mariupolskyi raion;;raion;18.03.2022 2:26;18.03.2022 2:53
Zaporizka oblast;;;oblast;18.03.2022 2:59;18.03.2022 3:37
Kharkivska oblast;;;oblast;18.03.2022 3:05;18.03.2022 3:37
Odeska oblast;Odeskyi raion;;raion;18.03.2022 3:42;18.03.2022 3:48
Vinnytska oblast;;;oblast;18.03.2022 5:28;18.03.2022 6:11
Kyiv;;;oblast;18.03.2022 5:28;18.03.2022 6:12
Zhytomyrska oblast;;;oblast;18.03.2022 5:31;18.03.2022 6:12
Kyivska oblast;Bilotserkivskyi raion;m. Bila Tserkva ta Bilotserkivska terytorialna hromada;hromada;18.03.2022 5:34;18.03.2022 6:16
Kharkivska oblast;;;oblast;18.03.2022 6:57;18.03.2022 8:15
Kyiv;;;oblast;18.03.2022 7:18;18.03.2022 8:37
Zhytomyrska oblast;;;oblast;18.03.2022 7:19;18.03.2022 8:38
Vinnytska oblast;;;oblast;18.03.2022 7:21;18.03.2022 8:34
Kyivska oblast;;;oblast;18.03.2022 7:27;18.03.2022 8:45
Cherkaska oblast;Umanskyi raion;Umanska terytorialna hromada;hromada;18.03.2022 7:33;18.03.2022 8:38
Cherkaska oblast;Cherkaskyi raion;m. Cherkasy ta Cherkaska terytorialna hromada;hromada;18.03.2022 7:33;18.03.2022 8:39
Dnipropetrovska oblast;;;oblast;18.03.2022 7:53;18.03.2022 8:23
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;18.03.2022 7:55;18.03.2022 8:23
Khmelnytska oblast;;;oblast;18.03.2022 8:00;18.03.2022 8:37
Rivnenska oblast;;;oblast;18.03.2022 8:07;18.03.2022 8:47
